#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-08-29T13:20:04 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5d67d0f18712	
#INFO	-out.max=unlimited	
#INFO	queryParameters=29	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/623/A108&tab:{J/A+A/623/A108/tablea}&key:source=J/A+A/623/A108&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/623/A108/tablea
#-order=I
#-out=Cluster
#-out=RA_ICRS
#-out=DE_ICRS
#-out=logA
#-out=e_logA
#-out=E_logA
#-out=Dist
#-out=e_Dist
#-out=E_Dist
#-out=AV
#-out=e_AV
#-out=E_AV
#-out=AGTO
#-out=e_AGTO
#-out=E_AGTO
#-out=Fe/H
#-out=r_Fe/H
#-out=SimbadName
#-out=_RA.icrs
#-out=_DE.icrs
#

#RESOURCE=yCat_36230108
#Name: J/A+A/623/A108
#Title: Age of 269 GDR2 open clusters (Bossini+, 2019)
#Coosys	H_2015.500:	ICRS
#Table	J_A_A_623_A108_tablea:
#Name: J/A+A/623/A108/tablea
#Title: Summary of OCs parameters characterised in this study (tables A1-A3)
#Column	Cluster	(a20)	Cluster name	[ucd=meta.id;meta.main]
#Column	RA_ICRS	(F7.3)	Mean right ascension of the cluster (ICRS) at epoch 2015.5	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F7.3)	Mean declination of the cluster (ICRS) at epoch 2015.5	[ucd=pos.eq.dec;meta.main]
#Column	logA	(F10.3)	Bayesian estimation of Age (in log t)	[ucd=time.age]
#Column	e_logA	(F10.3)	16th percentile confidence level of Age (in log t)	[ucd=stat.error]
#Column	E_logA	(F10.3)	84th percentile confidence level of Age (in log t)	[ucd=stat.error;stat.max]
#Column	Dist	(F10.3)	Bayesian estimation of distant modulus	[ucd=phot.mag.distMod]
#Column	e_Dist	(F10.3)	16th percentile confidence level of distance modulus	[ucd=stat.error]
#Column	E_Dist	(F10.3)	84th percentile confidence level of distance modulus	[ucd=stat.error;stat.max]
#Column	AV	(F10.3)	Bayesian estimation of extinction in V band	[ucd=phys.absorption;em.opt.V]
#Column	e_AV	(F10.3)	16th percentile confidence level of extinction in V band	[ucd=stat.error]
#Column	E_AV	(F10.3)	84th percentile confidence level of extinction in V band	[ucd=stat.error;stat.max]
#Column	AGTO	(F10.3)	Extinction in G band (GaiaDR2 Evans et al., 2018A&A...616A...4E, Cat. I/345) at the turn off of the cluster	[ucd=phys.absorption;em.opt.V]
#Column	e_AGTO	(F10.3)	16th percentile confidence level of extinction in G band at the turn off	[ucd=stat.error]
#Column	E_AGTO	(F10.3)	84th percentile confidence level of extinction in G band at the turn off	[ucd=stat.error;stat.max]
#Column	Fe/H	(F10.3)	Cluster metallicity assumed (in dex)	[ucd=phys.abund.Z]
#Column	r_Fe/H	(A10)	Reference for the metallicity assumed (1)	[ucd=meta.ref]
#Column	SimbadName	(a22)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA.icrs	(F8.4)	Right ascension (ICRS) at Epoch=J2015.5 (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F8.4)	Declination (ICRS) at Epoch=J2015.5 (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
Cluster	RA_ICRS	DE_ICRS	logA	e_logA	E_logA	Dist	e_Dist	E_Dist	AV	e_AV	E_AV	AGTO	e_AGTO	E_AGTO	Fe/H	r_Fe/H	SimbadName	_RA.icrs	_DE.icrs
ASCC21              	082.179	+03.527	     7.032	     7.063	     6.960	     7.425	     7.507	     7.367	     0.118	     0.141	     0.096	     0.115	     0.138	     0.094	     0.000	        NC	[KPR2005] 21          	082.1790	+03.5270
ASCC22              	093.656	+00.637	     8.557	     8.618	     8.494	     9.546	     9.582	     9.508	     0.549	     0.585	     0.516	     0.536	     0.571	     0.504	     0.000	        NC	[KPR2005] 22          	093.6560	+00.6370
ASCC23              	095.047	+46.710	     8.480	     8.515	     8.440	     8.854	     8.881	     8.829	     0.283	     0.305	     0.260	     0.276	     0.298	     0.254	     0.000	        NC	[KPR2005] 23          	095.0470	+46.7100
ASCC29              	103.571	-01.670	     7.950	     7.985	     7.907	    10.050	    10.083	    10.017	     0.239	     0.266	     0.211	     0.233	     0.260	     0.206	     0.000	        NC	[KPR2005] 29          	103.5710	-01.6700
ASCC32              	105.714	-26.512	     7.404	     7.404	     7.403	     9.322	     9.342	     9.290	     0.218	     0.233	     0.198	     0.213	     0.227	     0.193	     0.000	        NC	[KPR2005] 32          	105.7140	-26.5120
ASCC41              	116.674	+00.137	     8.040	     8.083	     7.993	     7.226	     7.272	     7.184	     0.072	     0.091	     0.053	     0.070	     0.089	     0.052	     0.000	        NC	[KPR2005] 41          	116.6740	+00.1370
ASCC58              	153.657	-55.001	     7.826	     7.887	     7.745	     8.328	     8.362	     8.295	     0.309	     0.341	     0.282	     0.302	     0.333	     0.275	     0.000	        NC	[KPR2005] 58          	153.6570	-55.0010
ASCC71              	185.033	-67.509	     8.051	     8.059	     8.038	    10.546	    10.570	    10.522	     0.727	     0.749	     0.704	     0.710	     0.731	     0.687	     0.000	        NC	[KPR2005] 71          	185.0330	-67.5090
ASCC101             	288.399	+36.369	     8.694	     8.757	     8.596	     7.878	     7.913	     7.844	     0.053	     0.078	     0.030	     0.052	     0.076	     0.029	     0.000	        NC	[KPR2005] 101         	288.3990	+36.3690
ASCC105             	295.548	+27.366	     7.994	     8.013	     7.966	     8.568	     8.595	     8.541	     0.340	     0.363	     0.317	     0.332	     0.354	     0.309	     0.000	        NC	[KPR2005] 105         	295.5480	+27.3660
ASCC108             	298.306	+39.349	     7.911	     7.926	     7.903	    10.149	    10.168	    10.133	     0.341	     0.355	     0.327	     0.333	     0.347	     0.319	     0.000	        NC	[KPR2005] 108         	298.3060	+39.3490
ASCC112             	304.093	+52.061	     8.182	     8.196	     8.165	     8.981	     9.004	     8.956	     0.307	     0.330	     0.287	     0.300	     0.322	     0.280	     0.000	        NC	[KPR2005] 112         	304.0930	+52.0610
ASCC113             	317.933	+38.638	     8.629	     8.677	     8.522	     8.613	     8.633	     8.591	     0.094	     0.113	     0.077	     0.092	     0.110	     0.075	     0.000	        NC	[KPR2005] 113         	317.9330	+38.6380
ASCC114             	324.990	+53.997	     7.746	     7.746	     7.745	     9.759	     9.779	     9.738	     0.899	     0.920	     0.879	     0.878	     0.898	     0.858	     0.000	        NC	[KPR2005] 114         	324.9900	+53.9970
ASCC115             	329.280	+51.558	     8.022	     8.187	     7.941	     9.246	     9.283	     9.205	     0.629	     0.667	     0.590	     0.614	     0.651	     0.576	     0.000	        NC	[KPR2005] 115         	329.2800	+51.5580
ASCC124             	341.924	+46.331	     7.974	     8.118	     7.927	     9.221	     9.247	     9.195	     0.555	     0.578	     0.531	     0.542	     0.564	     0.518	     0.000	        NC	[KPR2005] 124         	341.9240	+46.3310
ASCC128             	349.949	+54.435	     8.486	     8.575	     8.362	     9.047	     9.080	     9.013	     0.453	     0.484	     0.421	     0.442	     0.472	     0.411	     0.000	        NC	[KPR2005] 128         	349.9490	+54.4350
Alessi1             	013.343	+49.536	     8.935	     8.976	     8.900	     9.255	     9.289	     9.220	     0.322	     0.354	     0.291	     0.314	     0.346	     0.284	     0.000	        NC	Cl Alessi 1           	013.3430	+49.5360
Alessi2             	071.602	+55.199	     8.759	     8.803	     8.617	     8.846	     8.872	     8.818	     0.482	     0.506	     0.455	     0.470	     0.494	     0.444	     0.000	        NC	Cl Alessi 2           	071.6020	+55.1990
Alessi8             	232.408	-51.227	     8.137	     8.236	     8.083	     9.110	     9.141	     9.079	     0.318	     0.346	     0.287	     0.310	     0.338	     0.280	     0.000	        NC	Cl Alessi 8           	232.4080	-51.2270
Alessi10            	301.233	-10.555	     7.746	     7.777	     7.698	     8.416	     8.474	     8.375	     0.423	     0.466	     0.380	     0.413	     0.455	     0.371	     0.000	        NC	Cl Alessi 10          	301.2330	-10.5550
Alessi12            	310.875	+23.871	     8.089	     8.105	     8.067	     8.491	     8.514	     8.467	     0.215	     0.236	     0.196	     0.210	     0.230	     0.191	     0.000	        NC	Cl Alessi 12          	310.8750	+23.8710
Alessi19            	274.741	+12.311	     7.380	     7.399	     7.366	     8.779	     8.813	     8.735	     0.158	     0.181	     0.132	     0.154	     0.177	     0.129	     0.000	        NC	Cl Alessi 19          	274.7410	+12.3110
Alessi21            	107.690	-09.363	     7.816	     7.839	     7.790	     8.631	     8.660	     8.601	     0.248	     0.272	     0.225	     0.242	     0.265	     0.220	     0.000	        NC	Cl Alessi 21          	107.6900	-09.3630
Alessi37            	341.961	+46.342	     8.125	     8.170	     8.077	     9.160	     9.187	     9.134	     0.496	     0.520	     0.473	     0.484	     0.508	     0.462	     0.000	        NC	Cl Alessi 37          	341.9610	+46.3420
Alessi60            	105.619	-01.120	     8.338	     8.362	     8.293	    12.511	    12.538	    12.484	     0.911	     0.936	     0.887	     0.889	     0.914	     0.866	     0.000	        NC	Cl Alessi 60          	105.6190	-01.1200
Alessi62            	284.026	+21.597	     8.964	     8.997	     8.937	     8.799	     8.823	     8.776	     0.603	     0.627	     0.579	     0.589	     0.612	     0.565	     0.000	        NC	Cl Alessi 62          	284.0260	+21.5970
AlessiTeutsch3      	118.228	-53.022	     7.986	     8.021	     7.959	     9.100	     9.126	     9.075	     0.418	     0.439	     0.397	     0.408	     0.429	     0.388	     0.000	        NC	NAME Alessi Teutsch 3 	118.2280	-53.0220
AlessiTeutsch11     	304.127	+52.051	     8.179	     8.192	     8.162	     8.983	     9.006	     8.960	     0.312	     0.334	     0.290	     0.305	     0.326	     0.283	     0.000	        NC	NAME Alessi Teutsch 11	304.1270	+52.0510
AlessiTeutsch12     	255.421	-58.981	     7.977	     8.146	     7.926	     8.923	     8.961	     8.886	     0.376	     0.406	     0.338	     0.367	     0.396	     0.330	     0.000	        NC	NAME Alessi-Teutsch 12	255.4210	-58.9810
BH111               	167.320	-63.834	     8.438	     8.689	     7.567	    12.062	    12.114	    12.010	     1.094	     1.145	     1.043	     1.068	     1.118	     1.018	     0.000	        NC	Cl VDBH 111           	167.3200	-63.8340
BH164               	222.311	-66.465	     7.810	     7.892	     7.605	     7.991	     8.045	     7.928	     0.381	     0.414	     0.326	     0.372	     0.404	     0.318	     0.000	        NC	Cl VDBH 164           	222.3110	-66.4650
Basel4              	087.242	+30.190	     8.135	     8.245	     7.941	    12.658	    12.695	    12.622	     1.525	     1.562	     1.491	     1.489	     1.525	     1.455	     0.000	        NC	Cl Basel4             	087.2420	+30.1900
Basel11b            	089.547	+21.965	     8.482	     8.517	     8.445	    11.353	    11.389	    11.321	     1.435	     1.465	     1.406	     1.401	     1.430	     1.372	     0.000	        NC	Cl Basel11b           	089.5470	+21.9650
Berkeley58          	000.063	+60.937	     7.700	     7.867	     7.531	    12.823	    12.851	    12.795	     2.049	     2.074	     2.023	     2.000	     2.024	     1.975	     0.000	        NC	Cl Berkeley58         	000.0630	+60.9370
Berkeley61          	012.040	+67.199	     8.165	     8.466	     7.713	    12.545	    12.617	    12.484	     2.135	     2.197	     2.062	     2.084	     2.144	     2.013	     0.000	        NC	Cl Berkeley61         	012.0400	+67.1990
Bochum3             	105.860	-05.021	     7.576	     7.600	     7.559	    11.953	    11.988	    11.924	     0.696	     0.725	     0.665	     0.679	     0.708	     0.649	     0.000	        NC	Cl Bochum3            	105.8600	-05.0210
Collinder185        	125.833	-36.349	     7.698	     7.724	     7.684	    10.984	    11.010	    10.958	     0.692	     0.716	     0.669	     0.675	     0.699	     0.653	     0.000	        NC	Cl Collinder185       	125.8330	-36.3490
Collinder258        	186.798	-60.767	     7.834	     7.861	     7.817	    10.573	    10.593	    10.552	     0.653	     0.671	     0.632	     0.637	     0.655	     0.617	     0.000	        NC	Cl Collinder258       	186.7980	-60.7670
Collinder268        	199.543	-67.079	     8.384	     8.463	     8.256	    11.938	    11.961	    11.913	     1.253	     1.277	     1.230	     1.223	     1.246	     1.201	     0.000	        NC	Cl Collinder268       	199.5430	-67.0790
Collinder292        	237.410	-57.594	     8.697	     8.740	     8.644	    10.824	    10.849	    10.804	     0.887	     0.906	     0.867	     0.866	     0.884	     0.846	     0.000	        NC	Cl Collinder292       	237.4100	-57.5940
Collinder338        	264.483	-37.657	     8.373	     8.512	     8.078	     9.135	     9.167	     9.100	     0.664	     0.696	     0.633	     0.648	     0.679	     0.618	     0.000	        NC	Cl Collinder338       	264.4830	-37.6570
Collinder394        	283.092	-20.229	     7.969	     8.032	     7.954	     9.227	     9.251	     9.208	     0.683	     0.703	     0.662	     0.667	     0.686	     0.646	     0.000	        NC	Cl Collinder394       	283.0920	-20.2290
Collinder463        	027.031	+71.738	     8.427	     8.436	     8.424	     9.530	     9.543	     9.516	     0.836	     0.848	     0.823	     0.816	     0.828	     0.803	     0.000	        NC	Cl Collinder463       	027.0310	+71.7380
Czernik12           	039.853	+54.922	     9.040	     9.805	     9.013	    11.532	    12.104	    11.482	     0.880	     0.925	     0.278	     0.859	     0.903	     0.271	     0.000	        NC	Cl Czernik12          	039.8530	+54.9220
Czernik19           	074.258	+28.763	     8.003	     8.169	     7.763	    12.280	    12.317	    12.243	     1.949	     1.987	     1.912	     1.902	     1.940	     1.866	     0.000	        NC	Cl Czernik19          	074.2580	+28.7630
Czernik25           	093.432	+06.953	     8.560	     8.584	     8.534	    12.128	    12.156	    12.093	     1.463	     1.497	     1.439	     1.428	     1.461	     1.405	     0.000	        NC	Cl Czernik25          	093.4320	+06.9530
Czernik31           	114.238	-20.515	     7.329	     7.561	     7.323	    12.658	    12.693	    12.637	     1.481	     1.510	     1.460	     1.446	     1.474	     1.425	     0.000	        NC	Cl Czernik31          	114.2380	-20.5150
ESO16604            	137.602	-53.884	     8.204	     8.220	     8.178	    10.240	    10.275	    10.201	     0.514	     0.551	     0.479	     0.502	     0.538	     0.468	     0.000	        NC	ESO 166-4             	137.6020	-53.8840
ESO36811            	116.086	-34.628	     9.011	     9.030	     8.991	    11.168	    11.194	    11.143	     0.818	     0.841	     0.793	     0.798	     0.821	     0.774	     0.000	        NC	ESO 368-11            	116.0860	-34.6280
FSR0357             	337.723	+53.951	     7.881	     8.017	     7.646	    13.265	    13.305	    13.223	     1.422	     1.461	     1.382	     1.388	     1.426	     1.349	     0.000	        NC	[FSR2007] 0357        	337.7230	+53.9510
FSR0716             	077.786	+45.718	     8.868	     8.900	     8.767	    13.143	    13.186	    13.087	     1.065	     1.132	     1.025	     1.040	     1.105	     1.001	     0.000	        NC	[FSR2007] 0716        	077.7860	+45.7180
FSR0735             	073.471	+40.859	     8.445	     8.498	     8.364	    12.624	    12.655	    12.594	     1.426	     1.457	     1.397	     1.392	     1.422	     1.364	     0.000	        NC	[FSR2007] 0735        	073.4710	+40.8590
FSR0771             	075.919	+32.157	     8.195	     8.446	     7.476	    11.348	    11.397	    11.296	     2.018	     2.070	     1.970	     1.970	     2.021	     1.923	     0.000	        NC	[FSR2007] 0771        	075.9190	+32.1570
FSR0866             	103.823	+29.745	     9.255	     9.270	     9.228	    10.885	    10.917	    10.857	     0.487	     0.512	     0.457	     0.475	     0.500	     0.446	     0.000	        NC	[FSR2007] 0866        	103.8230	+29.7450
FSR0951             	095.573	+14.650	     8.589	     9.334	     8.522	    11.609	    11.762	    11.582	     1.153	     1.175	     0.511	     1.125	     1.147	     0.499	     0.000	        NC	[FSR2007] 0951        	095.5730	+14.6500
FSR0968             	092.843	+11.863	     7.912	     8.183	     7.513	    11.931	    11.972	    11.892	     1.170	     1.210	     1.131	     1.142	     1.181	     1.104	     0.000	        NC	[FSR2007] 0968        	092.8430	+11.8630
FSR1063             	098.654	-00.265	     8.403	     8.508	     8.113	    11.791	    11.839	    11.741	     1.768	     1.816	     1.720	     1.726	     1.773	     1.679	     0.000	        NC	[FSR2007] 1063        	098.6540	-00.2650
FSR1085             	103.290	-00.192	     7.825	     7.870	     7.781	    10.876	    10.912	    10.846	     0.446	     0.476	     0.418	     0.435	     0.465	     0.408	     0.000	        NC	[FSR2007] 1085        	103.2900	-00.1920
FSR1144             	104.298	-06.628	     7.611	     8.960	     7.592	    11.617	    11.769	    11.581	     0.849	     0.882	     0.557	     0.829	     0.861	     0.544	     0.000	        NC	[FSR2007] 1144        	104.2980	-06.6280
FSR1211             	115.336	-09.607	     9.028	     9.034	     9.021	    12.515	    12.537	    12.488	     0.286	     0.308	     0.260	     0.279	     0.301	     0.254	     0.000	        NC	[FSR2007] 1211        	115.3360	-09.6070
FSR1252             	110.659	-18.703	     8.820	     8.826	     8.807	    12.820	    12.842	    12.790	     1.036	     1.063	     1.015	     1.011	     1.038	     0.991	     0.000	        NC	[FSR2007] 1252        	110.6590	-18.7030
FSR1360             	120.392	-34.483	     8.193	     8.259	     7.927	    11.988	    12.019	    11.955	     1.159	     1.187	     1.128	     1.131	     1.159	     1.101	     0.000	        NC	[FSR2007] 1360        	120.3920	-34.4830
FSR1723             	238.769	-46.014	     8.452	     8.600	     7.700	    10.821	    10.866	    10.788	     1.079	     1.110	     1.029	     1.053	     1.083	     1.004	     0.000	        NC	[FSR2007] 1723        	238.7690	-46.0140
Ferrero11           	093.646	+00.637	     8.554	     8.602	     8.496	     9.512	     9.547	     9.476	     0.571	     0.604	     0.540	     0.557	     0.590	     0.527	     0.000	        NC	Name Ferrero 11       	093.6460	+00.6370
Gulliver1           	161.582	-57.034	     9.153	     9.166	     9.030	    12.061	    12.089	    12.018	     0.502	     0.531	     0.471	     0.490	     0.518	     0.460	     0.000	        NC	                      	161.5820	-57.0340
Gulliver9           	126.998	-47.929	     7.154	     9.001	     7.127	     8.302	     8.345	     7.503	     0.138	     0.155	     0.093	     0.135	     0.151	     0.091	     0.000	        NC	                      	126.9980	-47.9290
Gulliver20          	273.736	+11.082	     8.289	     8.934	     8.021	     7.983	     8.021	     7.944	     0.149	     0.173	     0.125	     0.145	     0.169	     0.122	     0.000	        NC	                      	273.7360	+11.0820
Gulliver21          	106.961	-25.462	     8.472	     8.509	     8.258	     8.972	     8.996	     8.947	     0.187	     0.208	     0.168	     0.183	     0.203	     0.164	     0.000	        NC	                      	106.9610	-25.4620
Gulliver36          	123.185	-35.111	     9.053	     9.083	     9.021	    10.370	    10.395	    10.346	     0.356	     0.377	     0.336	     0.347	     0.368	     0.328	     0.000	        NC	                      	123.1850	-35.1110
Gulliver44          	127.249	-38.095	     9.182	     9.202	     9.157	     9.925	     9.950	     9.900	     0.502	     0.522	     0.486	     0.490	     0.510	     0.474	     0.000	        NC	                      	127.2490	-38.0950
Haffner3            	106.027	-06.133	     8.640	     8.718	     8.457	    12.201	    12.244	    12.154	     1.135	     1.183	     1.093	     1.108	     1.155	     1.067	     0.000	        NC	Cl Haffner3           	106.0270	-06.1330
Haffner6            	109.998	-13.151	     8.734	     8.760	     8.690	    13.163	    13.189	    13.136	     1.460	     1.486	     1.432	     1.425	     1.450	     1.398	     0.000	        NC	Cl Haffner6           	109.9980	-13.1510
Haffner9            	111.175	-17.001	     8.648	     8.672	     8.613	    12.354	    12.382	    12.324	     1.611	     1.637	     1.584	     1.572	     1.598	     1.546	     0.000	        NC	Cl Haffner9           	111.1750	-17.0010
Haffner13           	115.209	-30.073	     7.497	     7.514	     7.474	     8.634	     8.663	     8.604	     0.168	     0.188	     0.145	     0.164	     0.184	     0.142	     0.000	        NC	Cl Haffner13          	115.2090	-30.0730
Haffner14           	116.182	-28.384	     8.291	     8.293	     8.289	    13.197	    13.216	    13.179	     1.892	     1.908	     1.876	     1.847	     1.862	     1.831	     0.000	        NC	Cl Haffner14          	116.1820	-28.3840
Haffner21           	120.288	-27.212	     8.478	     8.620	     8.200	    12.419	    12.459	    12.382	     0.686	     0.723	     0.649	     0.670	     0.706	     0.633	     0.000	        NC	Cl Haffner21          	120.2880	-27.2120
Haffner22           	123.108	-27.913	     9.276	     9.278	     9.275	    12.468	    12.490	    12.446	     0.497	     0.515	     0.479	     0.485	     0.503	     0.468	     0.000	        NC	Cl Haffner22          	123.1080	-27.9130
Haffner23           	107.389	-16.866	     8.699	     8.737	     8.645	    11.425	    11.454	    11.398	     0.630	     0.657	     0.603	     0.615	     0.641	     0.589	     0.000	        NC	Cl Haffner23          	107.3890	-16.8660
Haffner26           	123.911	-30.851	     8.708	     8.741	     8.675	    12.326	    12.352	    12.297	     0.569	     0.599	     0.548	     0.555	     0.585	     0.535	     0.000	        NC	Cl Haffner26          	123.9110	-30.8510
Harvard10           	244.859	-54.957	     7.899	     7.971	     7.860	     9.548	     9.573	     9.526	     0.722	     0.743	     0.700	     0.705	     0.725	     0.683	     0.000	        NC	Cl Harvard10          	244.8590	-54.9570
IC2157              	091.183	+24.091	     7.618	     7.912	     7.469	    11.909	    11.948	    11.873	     1.507	     1.541	     1.467	     1.471	     1.504	     1.432	     0.000	        NC	IC2157                	091.1830	+24.0910
King4               	039.028	+59.024	     7.646	     7.837	     7.439	    12.446	    12.484	    12.410	     2.411	     2.447	     2.374	     2.353	     2.389	     2.317	     0.000	        NC	Cl King4              	039.0280	+59.0240
King20              	353.305	+58.469	     8.543	     8.644	     8.343	    11.478	    11.527	    11.428	     2.067	     2.118	     2.020	     2.018	     2.067	     1.972	     0.000	        NC	Cl King20             	353.3050	+58.4690
Koposov12           	090.245	+35.287	     8.542	     8.561	     8.524	    12.100	    12.125	    12.075	     1.531	     1.554	     1.508	     1.494	     1.517	     1.472	     0.000	        NC	                      	090.2450	+35.2870
Loden1194           	212.006	-59.786	     8.515	     8.559	     8.393	     9.163	     9.190	     9.133	     0.338	     0.365	     0.314	     0.330	     0.356	     0.306	     0.000	        NC	Cl Loden1194          	212.0060	-59.7860
Lynga2              	216.085	-61.328	     7.933	     7.965	     7.914	     9.862	     9.885	     9.839	     0.691	     0.710	     0.669	     0.674	     0.693	     0.653	     0.000	        NC	Cl Lynga2             	216.0850	-61.3280
Mamajek4            	276.635	-50.772	     8.824	     8.871	     8.761	     8.029	     8.057	     8.005	     0.199	     0.222	     0.175	     0.194	     0.217	     0.171	     0.000	        NC	Cl Mamajek4           	276.6350	-50.7720
NGC225             	010.805	+61.774	     8.254	     8.668	     7.879	     9.249	     9.290	     9.206	     0.821	     0.862	     0.781	     0.801	     0.841	     0.762	     0.000	        NC	NGC225               	010.8050	+61.7740
NGC581             	023.339	+60.659	     7.418	     7.437	     7.324	    12.117	    12.142	    12.086	     1.213	     1.230	     1.190	     1.184	     1.201	     1.162	     0.000	        NC	NGC581               	023.3390	+60.6590
NGC1220             	047.920	+53.344	     7.957	     8.174	     7.649	    12.518	    12.567	    12.468	     2.162	     2.210	     2.113	     2.110	     2.157	     2.062	     0.000	        NC	NGC1220               	047.9200	+53.3440
NGC1528             	063.878	+51.218	     8.596	     8.634	     8.557	     9.975	     9.995	     9.952	     0.794	     0.814	     0.777	     0.775	     0.795	     0.758	     0.000	        NC	NGC1528               	063.8780	+51.2180
NGC1582             	067.985	+43.718	     8.419	     8.470	     7.917	    10.031	    10.060	    10.001	     0.974	     1.008	     0.947	     0.951	     0.984	     0.924	     0.000	        NC	NGC1582               	067.9850	+43.7180
NGC1664             	072.763	+43.676	     8.673	     8.691	     8.666	    10.626	    10.646	    10.606	     0.708	     0.726	     0.691	     0.691	     0.709	     0.674	     0.000	        NC	NGC1664               	072.7630	+43.6760
NGC1750             	075.926	+23.695	     8.617	     9.046	     8.616	     9.070	     9.102	     8.951	     0.659	     0.686	     0.376	     0.643	     0.670	     0.367	     0.000	        NC	NGC1750               	075.9260	+23.6950
NGC1758             	076.175	+23.813	     8.741	     8.760	     8.709	     9.844	     9.871	     9.821	     0.926	     0.950	     0.907	     0.904	     0.927	     0.885	     0.000	        NC	NGC1758               	076.1750	+23.8130
NGC1960             	084.084	+34.135	     7.408	     7.408	     7.408	    10.256	    10.276	    10.237	     0.657	     0.673	     0.638	     0.641	     0.657	     0.623	     0.000	        NC	NGC1960               	084.0840	+34.1350
NGC2184             	091.690	-02.000	     8.941	     8.974	     8.908	     8.603	     8.631	     8.574	     0.319	     0.345	     0.291	     0.311	     0.337	     0.284	     0.000	        NC	NGC2184               	091.6900	-02.0000
NGC2302             	102.977	-07.086	     7.873	     7.894	     7.850	    10.513	    10.546	    10.483	     0.636	     0.665	     0.609	     0.621	     0.649	     0.594	     0.000	        NC	NGC2302               	102.9770	-07.0860
NGC2323             	105.684	-08.365	     7.975	     7.985	     7.957	     9.822	     9.838	     9.809	     0.474	     0.487	     0.463	     0.463	     0.475	     0.452	     0.000	        NC	NGC2323               	105.6840	-08.3650
NGC2353             	108.641	-10.257	     7.905	     8.840	     7.704	    10.293	    10.388	    10.235	     0.368	     0.397	     0.182	     0.359	     0.388	     0.178	     0.000	        NC	NGC2353               	108.6410	-10.2570
NGC2358             	109.261	-17.143	     8.701	     9.532	     8.681	     9.711	     9.739	     9.680	     0.123	     0.146	     0.003	     0.120	     0.143	     0.003	     0.000	        NC	NGC2358               	109.2610	-17.1430
NGC2374             	111.016	-13.235	     8.586	     8.632	     8.560	    10.416	    10.445	    10.384	     0.425	     0.452	     0.399	     0.415	     0.441	     0.389	     0.000	        NC	NGC2374               	111.0160	-13.2350
NGC2383             	111.174	-20.949	     8.222	     8.231	     8.212	    12.658	    12.681	    12.640	     1.027	     1.044	     1.010	     1.002	     1.019	     0.986	     0.000	        NC	NGC2383               	111.1740	-20.9490
NGC2396             	111.984	-11.725	     7.890	     7.902	     7.882	    10.725	    10.743	    10.707	     0.305	     0.323	     0.286	     0.298	     0.315	     0.279	     0.000	        NC	NGC2396               	111.9840	-11.7250
NGC2432             	115.223	-19.078	     8.848	     8.900	     8.838	    11.479	    11.524	    11.455	     0.740	     0.760	     0.680	     0.722	     0.742	     0.664	     0.000	        NC	NGC2432               	115.2230	-19.0780
NGC2448             	116.034	-24.837	     7.997	     8.009	     7.977	    10.163	    10.184	    10.142	     0.119	     0.133	     0.104	     0.116	     0.130	     0.102	     0.000	        NC	NGC2448               	116.0340	-24.8370
NGC2645             	129.774	-46.235	     7.425	     7.498	     7.401	    11.295	    11.323	    11.267	     1.292	     1.319	     1.263	     1.261	     1.287	     1.233	     0.000	        NC	NGC2645               	129.7740	-46.2350
NGC2659             	130.634	-44.999	     7.434	     7.474	     7.404	    11.809	    11.836	    11.779	     1.492	     1.517	     1.464	     1.456	     1.481	     1.429	     0.000	        NC	NGC2659               	130.6340	-44.9990
NGC2669             	131.611	-52.931	     7.913	     7.933	     7.896	    10.254	    10.274	    10.237	     0.620	     0.636	     0.601	     0.605	     0.621	     0.587	     0.000	        NC	NGC2669               	131.6110	-52.9310
NGC2866             	140.526	-51.100	     7.718	     7.847	     7.541	    12.575	    12.605	    12.543	     1.967	     1.995	     1.938	     1.920	     1.947	     1.892	     0.000	        NC	NGC2866               	140.5260	-51.1000
NGC2910             	142.643	-52.913	     7.678	     7.709	     7.648	    10.784	    10.807	    10.762	     0.858	     0.880	     0.835	     0.837	     0.859	     0.815	     0.000	        NC	NGC2910               	142.6430	-52.9130
NGC2925             	143.321	-53.413	     8.184	     8.576	     8.051	     9.383	     9.412	     9.354	     0.292	     0.320	     0.263	     0.285	     0.312	     0.257	     0.000	        NC	NGC2925               	143.3210	-53.4130
NGC3330             	159.659	-54.148	     7.769	     7.811	     7.763	    11.051	    11.074	    11.030	     0.401	     0.421	     0.387	     0.391	     0.411	     0.378	     0.000	        NC	NGC3330               	159.6590	-54.1480
